workerid,proliferate.condition,center_embedding,confidence,continuation,header,individual_judgment,item,passive,population_judgment,slide_number_in_experiment,time,version,error
7,condition1,no,0.96,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,hail damage,no,95,3,27627,filler_uncovered,
7,condition1,no,0.9,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,90,4,17077,filler_covered,
7,condition1,no,0.87,"One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident that occurs when an outside force that induces ground movement or landslip. This incident causes damage to the policyholder's property. ""</b>",no,ground heave,no,60,5,24563,uncovered,
7,condition1,yes,0.96,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when vehicle glass that is broken by an outside force results in damage to the body work of the policyholder's vehicle.""</b>",no,vehicle glass,yes,90,6,29623,uncovered,
7,condition1,yes,0.32,"Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs when belongings from the policyholder's home are removed by professional removal contractors causing damage to the policyholder's belongings.""</b>",no,house removal,yes,40,7,28414,covered,
7,condition1,yes,0.85,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when an adverse third party that wields a colorant or stain causes damage to the policyholder's property. ""</b>",yes,malicious acts or vandalism,no,85,8,22241,covered,
7,condition1,yes,0.9,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs when cables or pipes connected to the policyholder's home are located by a skilled professional resulting in damage to the policyholder's property.""</b>",no,trace and access,yes,60,9,29364,controversial,
7,condition1,no,0.49,"Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>",yes,emergency damages,yes,65,10,34585,uncovered,
7,condition1,no,0.7,"Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident within regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>",yes,general damages,no,75,11,30993,covered,
7,condition1,yes,0.62,Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs when an internal source that abruptly and unexpectedly leaks water results in damage to the policyholder's property.""</b>",no,escape of water,no,50,12,26953,uncovered,
