workerid,proliferate.condition,center_embedding,confidence,continuation,header,individual_judgment,item,passive,population_judgment,slide_number_in_experiment,time,version,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.legaltraining,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
134,condition1,no,0.75,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as follows: <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,Hail Damage,no,75,3,38853,filler_uncovered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,no,0.9,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as follows: <b>""loss as a result of theft to the policyholder's car or car accessories.""</b>",yes,Vehicle Theft,no,100,4,20497,filler_covered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,no,0.55,Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident occurs when water abruptly and unexpectedly leaks from an internal source. This incident results in damage to the policyholder's property.""</b>",yes,Escape Of Water,yes,50,5,27643,controversial,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,no,0.49,"Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident occurs with oil that is leaked by a fixed heating installation. This incident results in damage to the policyholder's property.""</b>",no,Escape Of Oil,yes,65,6,17969,uncovered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,yes,0.52,"One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip that is induced by an outside force causes damage to the policyholder's property.""</b>",yes,Ground Heave,yes,50,7,13506,controversial,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,yes,0.64,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident with a storm that creates lightning results in damage to the policyholder's property.""</b>",no,Storm Damage,no,60,8,19123,uncovered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,no,0.24,"One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident occurs with an outside force that instigates a fire or explosion. This incident results in damage to the policyholder's vehicle.""</b>",no,Vehicle Fire,no,30,9,17144,uncovered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,no,0.6,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers that the windshield has been severely damaged and that broken shards from the windshield managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident occurs when vehicle glass is broken by an outside force. This accident results in damage to the body work of the policyholder's vehicle.""</b>",yes,Vehicle Glass,yes,67,10,24433,covered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,yes,0.44,"Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs when belongings from the policyholder's home are removed by professional removal contractors causing damage to the policyholder's belongings.""</b>",no,House Removal,yes,55,11,33442,covered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,yes,0.47,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party that wields a colorant or stain causes damage to the policyholder's property.""</b>",yes,Malicious Acts Or Vandalism,no,100,12,19590,covered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
