workerid,proliferate.condition,center_embedding,confidence,continuation,header,individual_judgment,item,passive,population_judgment,slide_number_in_experiment,time,version,subject_information.affiliation,subject_information.age,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.legaltraining,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1,condition1,yes,0,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with a storm that creates lightning results in damage to the policyholder's property."" <b>",yes,storm damage,no,1,3,31950,controversial,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,no,0,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs with first responders that force open an entry to the policyholder's. This incident results in damage to the policyholder's property."" <b>",yes,emergency damages,no,1,4,3446,controversial,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,no,0,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incdent that occurs with cables or pipes connected to the policyholder's home that are located by a skilled professional. This incident results in damage to the policyholder's property."" <b>",yes,trace and access,yes,1,5,3900,covered,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,yes,0,"Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident that occurs with a fixed heating installation that leaks oil results in damage to the policyholder's property.""<b>",yes,escape of oil,no,1,6,3000,covered,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,yes,0,"One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with a fire or explosion that is instigated by an outside force results in damage to the policyholder's vehicle.""<b>",yes,vehicle fire,yes,1,7,3650,covered,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,yes,0,"Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs with belongings from the policyholder's home that are removed by professional removal contractors results in damage to the policyholder's belongings."" <b>",yes,house removal,yes,1,8,3534,uncovered,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,no,0,"One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident that occurs with ground movement or landslip that is induced by an outside force. This incident results in damage to the policyholder's property. ""<b>",yes,ground heave,yes,1,9,4232,uncovered,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,no,0,"Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An incdent that occurs with an injury that is incurred by regular working conditions. This incident results in missed employment for the policyholder."" <b>",yes,general damages,yes,1,10,3533,controversial,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,yes,0,Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incdent that occurs with an internal source that abruptly and unexpectedly leaks water results in damage to the policyholder's property."" <b>",yes,escape of water,no,1,11,3766,uncovered,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,no,0,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An incident that occurs with an outside force that breaks vehicle glass. This results in damage to the body work of the policyholder's vehicle.""<b>",yes,vehicle glass damage,no,1,12,5034,uncovered,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,yes,0,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs with a colorant or stain that is wielded by an adverse third party results in damage to the policyholder's property. ""<b>",yes,malicious acts or vandalism,yes,1,13,3566,controversial,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
1,condition1,no,0,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with a vehicular collision that produces an accidental injury. This incident results in damage to the policyholder's person.""<b>",yes,personal accident,no,1,14,3316,covered,-1,,,-1,-1,,,-1,,,Chrome,Mac,1050,1680,2.08115,
